name,country,type,domain,acquiring_capability,source,notes
Monetizze,Brazil,sub_acquirer,monetizze.com.br,confirmed,manual,Creator economy sub-acquirer
Pepper / Conductor,Brazil,payment_institution,conductor.com.br,confirmed,manual,Card processor (now Pepper) BaaS
Tribanco / Tricard,Brazil,acquirer,tribanco.com.br,confirmed,manual,Martins group acquirer for varejo
Banese Mobi,Brazil,wallet,banese.com.br,likely,manual,Banese mobile wallet
Bib Card,Brazil,payment_institution,,unknown,manual,Private-label card processor
Will Bank,Brazil,digital_bank,willbank.com.br,likely,manual,"Digital bank, ex-Acesso"
Banco Maxima,Brazil,bank,bancomaxima.com.br,unknown,manual,Wholesale bank
Méliuz,Brazil,fintech,meliuz.com.br,likely,manual,Cashback + Bankly partnership
Bemobi,Brazil,fintech,bemobi.com,likely,manual,Mobile payments / carrier billing
Hub Fintech,Brazil,payment_institution,hubfintech.com.br,confirmed,manual,"BaaS, owned by Magalu"
NEY Tecnologia,Brazil,fintech,neytecnologia.com.br,unknown,manual,Payments tech
Trinus Pay,Brazil,sub_acquirer,trinuspay.com.br,likely,manual,Real estate sub-acquirer
GoBots Pay,Brazil,sub_acquirer,gobots.ai,unknown,manual,
LinkSale,Brazil,sub_acquirer,linksale.com.br,likely,manual,SMB sub-acquirer
Nox Pay,Brazil,sub_acquirer,,unknown,manual,
Safe2Pay,Brazil,sub_acquirer,safe2pay.com.br,likely,manual,PIX + cards sub-acquirer
PagueComCripto,Brazil,fintech,,unknown,manual,
Pagoo,Brazil,sub_acquirer,pagoo.com.br,unknown,manual,
Linio Pay,Brazil,sub_acquirer,,unknown,manual,
Spendesk Brasil,Brazil,fintech,spendesk.com,likely,manual,Corporate cards / expense
Conta Simples,Brazil,fintech,contasimples.com,confirmed,manual,Corporate cards + payments for SMB
Cora,Brazil,digital_bank,cora.com.br,confirmed,manual,PJ digital bank + payments
Linker,Brazil,digital_bank,linkerbank.com.br,unknown,manual,PJ digital bank
Z1 Bank,Brazil,digital_bank,z1.com.vc,likely,manual,Teen bank
Olé Consignado,Brazil,bank,oleconsignado.com.br,unknown,manual,Payroll loan bank
Mais Bank,Brazil,digital_bank,maisbank.com.br,unknown,manual,
CSU CardSystem,Brazil,payment_institution,csu.com.br,confirmed,manual,Card processor + BPO
Valid,Brazil,payment_institution,valid.com,confirmed,manual,Card manufacturer + processor
Thales Brasil,Brazil,payment_institution,thalesgroup.com,likely,manual,Card / SIM manufacturer
Idemia Brasil,Brazil,payment_institution,idemia.com,likely,manual,Card / biometrics
Linx Pay,Brazil,sub_acquirer,linx.com.br,confirmed,manual,Stone-owned retail POS/sub-acquirer
Tcs / Sinqia (Evertec),Brazil,payment_institution,sinqia.com.br,likely,manual,Card processor / acquired by Evertec
GoCash,Brazil,wallet,,unknown,manual,
Bin Card,Brazil,payment_institution,,unknown,manual,Private label cards
Cartão Riachuelo,Brazil,payment_institution,cartaoriachuelo.com.br,confirmed,manual,Riachuelo private label / acquiring
Cartão Marisa,Brazil,payment_institution,marisa.com.br,likely,manual,Marisa private-label cards
Cartão Renner,Brazil,payment_institution,lojasrenner.com.br,confirmed,manual,Renner private-label + Realize CFI
Realize CFI (Renner),Brazil,payment_institution,realizecfi.com.br,confirmed,manual,Renner financial arm
Pernambucanas Financial,Brazil,payment_institution,pernambucanas.com.br,likely,manual,Retail finance + cards
Banco Bradesco BERJ,Brazil,bank,bradesco.com.br,unknown,manual,Bradesco group
Banco Yamaha Servicos Financeiros,Brazil,bank,yamahaservicosfinanceiros.com.br,unknown,manual,
